book_name,grouping,chapter,verse,mode
Sirakh,deutero,41,35,strict
Sirakh,deutero,41,36,strict
Sirakh,deutero,41,37,strict
Sirakh,deutero,41,38,strict
Sirakh,deutero,41,39,strict
Sirakh,deutero,42,26,strict
Sirakh,deutero,42,27,strict
Sirakh,deutero,42,28,strict
Sirakh,deutero,42,29,strict
Sirakh,deutero,42,30,strict
Sirakh,deutero,42,31,strict
Sirakh,deutero,42,32,strict
Sirakh,deutero,42,33,strict
Sirakh,deutero,42,34,strict
Sirakh,deutero,42,35,strict
Sirakh,deutero,42,36,strict
Sirakh,deutero,42,37,strict
Sirakh,deutero,42,38,strict
Sirakh,deutero,42,39,strict
Sirakh,deutero,42,40,strict
Sirakh,deutero,43,16,strict
Sirakh,deutero,43,17,strict
Sirakh,deutero,43,34,strict
Sirakh,deutero,43,35,strict
Sirakh,deutero,43,36,strict
Sirakh,deutero,43,37,strict
Sirakh,deutero,43,38,strict
Sirakh,deutero,43,39,strict
Sirakh,deutero,43,40,strict
Sirakh,deutero,43,41,strict
Sirakh,deutero,44,24,strict
Sirakh,deutero,44,25,strict
Sirakh,deutero,44,26,strict
Sirakh,deutero,44,27,strict
Sirakh,deutero,44,28,strict
Sirakh,deutero,44,29,strict
Sirakh,deutero,44,30,strict
Sirakh,deutero,44,31,strict
Sirakh,deutero,44,32,strict
Sirakh,deutero,44,33,strict
Sirakh,deutero,44,34,strict
Sirakh,deutero,44,35,strict
Sirakh,deutero,44,36,strict
Sirakh,deutero,44,37,strict
Sirakh,deutero,44,38,strict
Sirakh,deutero,44,39,strict
Sirakh,deutero,44,40,strict
Sirakh,deutero,44,41,strict
Sirakh,deutero,44,42,strict
Sirakh,deutero,45,27,strict
Sirakh,deutero,45,28,strict
Sirakh,deutero,45,29,strict
Sirakh,deutero,45,30,strict
Sirakh,deutero,45,31,strict
Sirakh,deutero,45,32,strict
Sirakh,deutero,45,33,strict
Sirakh,deutero,45,34,strict
Sirakh,deutero,45,35,strict
Sirakh,deutero,45,36,strict
Sirakh,deutero,45,37,strict
Sirakh,deutero,45,38,strict
Sirakh,deutero,45,39,strict
Sirakh,deutero,45,40,strict
Sirakh,deutero,45,41,strict
Sirakh,deutero,45,42,strict
Sirakh,deutero,45,43,strict
Sirakh,deutero,46,21,strict
Sirakh,deutero,46,22,strict
Sirakh,deutero,46,23,strict
Sirakh,deutero,46,24,strict
Sirakh,deutero,46,25,strict
Sirakh,deutero,46,26,strict
Sirakh,deutero,46,27,strict
Sirakh,deutero,46,28,strict
Sirakh,deutero,46,29,strict
Sirakh,deutero,46,30,strict
Sirakh,deutero,46,31,strict
Sirakh,deutero,46,32,strict
Sirakh,deutero,46,33,strict
Sirakh,deutero,46,34,strict
Sirakh,deutero,46,35,strict
Sirakh,deutero,46,36,strict
Sirakh,deutero,46,37,strict
Sirakh,deutero,46,38,strict
Sirakh,deutero,46,39,strict
Sirakh,deutero,46,40,strict
Sirakh,deutero,46,41,strict
Sirakh,deutero,46,42,strict
Sirakh,deutero,46,43,strict
Sirakh,deutero,46,44,strict
Sirakh,deutero,47,26,strict
Sirakh,deutero,47,27,strict
Sirakh,deutero,47,28,strict
